wavelength,power
3530.5259,0.0045295605
3530.3755,0.0029613562
3530.2256,0.00073612027
3530.0752,0.0036050864
3529.9255,0.0052174716
3529.7754,0.0024124347
3529.6248,0.0052097556
3529.4749,0.0051869014
3529.3247,0.0039227190
3529.1746,0.0046959785
3529.0244,0.0070555187
3528.8745,0.0012516703
3528.7241,0.0024819609
3528.5740,0.0063831904
3528.4241,0.0025468608
3528.2739,0.0017751498
3528.1240,0.0051330887
3527.9739,0.0026390713
3527.8242,0.00086748280
3527.6738,0.0028589596
3527.5237,0.0050400887
3527.3740,0.0023182062
3527.2239,0.0035466335
3527.0742,0.0059848218
3526.9241,0.0013523974
3526.7742,0.0023288422
3526.6240,0.0042179683
3526.4741,0.0024072458
3526.3245,0.00085497543
3526.1746,0.0054220757
3526.0251,0.0027586468
3525.8752,0.0012194961
3525.7253,0.0018417536
3525.5752,0.0046292222
3525.4253,0.0036520255
3525.2759,0.0030669831
3525.1260,0.0047820965
3524.9763,0.0049617733
3524.8262,0.0030359779
3524.6768,0.0040259361
3524.5269,0.0049919924
3524.3770,0.00085607899
3524.2275,0.0038157434
3524.0779,0.0050953538
3523.9280,0.00091128703
3523.7783,0.0031103892
3523.6289,0.0049154847
3523.4790,0.0027740831
3523.3293,0.0023426479
3523.1799,0.0045683486
3523.0303,0.0039045617
3522.8806,0.00030552599
3522.7310,0.0052000363
3522.5815,0.0059320768
3522.4319,0.00091377838
3522.2822,0.0050063138
3522.1333,0.0041880743
3521.9834,0.0031135462
3521.8340,0.0030371370
3521.6843,0.0064463741
3521.5352,0.0035240804
3521.3855,0.0037095053
3521.2361,0.0050543165
3521.0869,0.0041472670
3520.9370,0.0014572726
3520.7878,0.0054933643
3520.6382,0.0042741848
3520.4890,0.00061974092
3520.3396,0.0029863184
3520.1902,0.0065287505
3520.0408,0.0025055062
3519.8914,0.0046621212
3519.7422,0.0047472571
3519.5928,0.0038784337
3519.4436,0.0025283201
3519.2942,0.0055021760
3519.1445,0.0042294166
3518.9956,0.0013987380
3518.8462,0.0039769420
3518.6973,0.0048570205
3518.5479,0.0014671849
3518.3992,0.0048938133
3518.2500,0.0052855466
3518.1003,0.0013696649
3517.9514,0.0026260284
3517.8020,0.0053939843
3517.6531,0.0030692846
3517.5039,0.0019889837
3517.3550,0.0046629407
3517.2056,0.0042621936
3517.0564,0.0020824198
3516.9075,0.0059238090
3516.7583,0.0041032596
3516.6094,0.0033337639
3516.4602,0.0049332348
3516.3115,0.0055936840
3516.1621,0.0024506124
3516.0129,0.0030243811
3515.8640,0.0046820864
3515.7151,0.0050043035
3515.5664,0.0022932957
3515.4172,0.0062646279
3515.2683,0.0035456896
3515.1191,0.00097122305
3514.9702,0.0040148715
3514.8215,0.0071283733
3514.6724,0.00099964195
3514.5242,0.0032782315
3514.3748,0.0046979873
3514.2261,0.0032639268
3514.0771,0.00097267312
3513.9282,0.0066415602
3513.7798,0.0046446854
3513.6309,0.0012979247
3513.4822,0.0053482414
3513.3330,0.0044868449
3513.1846,0.0010192348
3513.0356,0.0034909565
3512.8867,0.0053369324
3512.7383,0.0033127363
3512.5894,0.0016381665
3512.4407,0.0070581879
3512.2917,0.0045745056
3512.1433,0.0025797375
3511.9946,0.0061306464
3511.8459,0.0051562260
3511.6975,0.0010946268
3511.5488,0.0053583770
3511.3999,0.0060657682
3511.2512,0.0010505870
3511.1030,0.0043645054
3510.9543,0.0054217540
3510.8057,0.0034974187
3510.6575,0.0046870466
3510.5085,0.0057675783
3510.3604,0.0037880770
3510.2117,0.0016859301
3510.0635,0.0068290359
3509.9148,0.0039796419
3509.7666,0.00079205522
3509.6179,0.0055348668
3509.4690,0.0034759243
3509.3208,0.0017078936
3509.1724,0.0032353639
3509.0242,0.0049906005
3508.8757,0.0030391575
3508.7275,0.0012761096
3508.5786,0.0060694949
3508.4302,0.0043407609
3508.2820,0.0018053518
3508.1335,0.0041671200
3507.9856,0.0083005428
3507.8372,0.0015872410
3507.6885,0.0059782905
3507.5403,0.0055670375
3507.3918,0.0010238620
3507.2439,0.0031311945
3507.0955,0.0066682817
3506.9478,0.0032170669
3506.7996,0.0029454739
3506.6511,0.0051377662
3506.5029,0.0046571209
3506.3545,0.0011333084
3506.2065,0.0036289559
3506.0583,0.0064255628
3505.9104,0.0028827116
3505.7620,0.0058313622
3505.6140,0.0074177030
3505.4658,0.0040745051
3505.3176,0.0048904391
3505.1697,0.0070317383
3505.0215,0.0026501836
3504.8735,0.0030923032
3504.7251,0.0057078279
3504.5774,0.0074593513
3504.4292,0.0035534443
3504.2810,0.0059256083
3504.1333,0.0045737564
3503.9851,0.0010545594
3503.8372,0.0033882363
3503.6892,0.0069098719
3503.5413,0.0035936849
3503.3933,0.0048717451
3503.2454,0.0057164053
3503.0979,0.0037962634
3502.9495,0.0011904930
3502.8020,0.0070171705
3502.6538,0.0056997794
3502.5063,0.0010259777
3502.3584,0.0063315402
3502.2104,0.0066132392
3502.0627,0.00037307353
3501.9146,0.0038918392
3501.7668,0.0075511229
3501.6191,0.0032004728
3501.4714,0.0054932125
3501.3237,0.0058835573
3501.1758,0.0033816486
3501.0281,0.0015609838
3500.8801,0.0076091671
3500.7327,0.0051344377
3500.5847,0.0022476544
3500.4373,0.0056532351
3500.2896,0.0041784667
3500.1418,0.0029583415
3499.9941,0.0041044848
3499.8464,0.0054249037
3499.6990,0.0042267297
3499.5513,0.0036012086
3499.4038,0.0059641665
3499.2563,0.0037121433
3499.1084,0.00037773044
3498.9612,0.0057793008
3498.8135,0.0057873176
3498.6660,0.0011222141
3498.5186,0.0055762744
3498.3711,0.0070185931
3498.2231,0.0011741604
3498.0757,0.0035220978
3497.9285,0.0069045448
3497.7808,0.0033537506
3497.6335,0.0032645401
3497.4861,0.0058184643
3497.3389,0.0042124894
3497.1909,0.0011363300
3497.0435,0.0050467360
3496.8962,0.0051747826
3496.7488,0.0027176430
3496.6018,0.0054195994
3496.4543,0.0058242516
3496.3069,0.0035644209
3496.1594,0.0048126690
